parset,parset_name,sens_type,sens_value,REGION6,subpop,peak_prevalence,time_to_peak,final_attack_rate,time_to_est,epidemic_duration
2,r0_1.5,r0,1.5,6,A,0.024286563123511577,58,0.3074238854765739,4,146
2,r0_1.5,r0,1.5,6,C,0.011407142398086049,81,0.18145135136438942,10,152
3,r0_2,r0,2,1,A,0.05328775069315351,40,0.39242407572511356,3,99
3,r0_2,r0,2,1,C,0.0340149741526999,53,0.2939542154144486,6,106
3,r0_2,r0,2,2,A,0.05342148108120822,40,0.39349315489767484,3,99
3,r0_2,r0,2,2,C,0.03319055612965939,54,0.29089725175877934,6,107
3,r0_2,r0,2,3,A,0.04529618217949442,46,0.36485143804009984,4,103
3,r0_2,r0,2,3,C,0.033029824674363224,54,0.2903246526180258,6,107
3,r0_2,r0,2,4,A,0.05224079029182449,42,0.3803472119720904,3,96
3,r0_2,r0,2,4,C,0.038604302129372124,49,0.30838871474976,6,100
3,r0_2,r0,2,5,A,0.057302088325531034,39,0.3994710415091773,3,94
3,r0_2,r0,2,5,C,0.036997235427042155,50,0.30212566131255764,6,101
3,r0_2,r0,2,6,A,0.0664743155299802,36,0.4133385437281821,3,86
3,r0_2,r0,2,6,C,0.044851494764061715,45,0.32424991168845696,5,93
4,r0_3,r0,3,1,A,0.12238139419201584,23,0.47299205160638913,2,60
4,r0_3,r0,3,1,C,0.09806213274617237,28,0.42342306387677586,3,65
4,r0_3,r0,3,2,A,0.12252847838248238,23,0.4735094678616016,2,60
4,r0_3,r0,3,2,C,0.09733195281309477,28,0.42241034774162056,3,65
4,r0_3,r0,3,3,A,0.11477352132857589,25,0.46341897498472506,2,62
4,r0_3,r0,3,3,C,0.0971166494481493,28,0.42209080817865036,3,65
4,r0_3,r0,3,4,A,0.12100177800852736,24,0.467938305143244,2,60
4,r0_3,r0,3,4,C,0.10253541096804678,27,0.42812561511594277,3,63
4,r0_3,r0,3,5,A,0.12610442569240007,23,0.4753514292663575,2,59
4,r0_3,r0,3,5,C,0.10098758297578742,27,0.4258896674417376,3,64
4,r0_3,r0,3,6,A,0.13471735579615965,21,0.4794574839817434,2,56
4,r0_3,r0,3,6,C,0.10880815885142166,25,0.4333956535048318,3,61
5,eps_0.25,eps,0.25,1,A,0.01906497905669917,62,0.2706148267487688,4,173
5,eps_0.25,eps,0.25,1,C,0.004863870709479554,108,0.12227622261274455,19,184
5,eps_0.25,eps,0.25,2,A,0.019433792231245892,62,0.2715907856826543,4,173
5,eps_0.25,eps,0.25,2,C,0.004506065056332834,108,0.11673460850244123,21,184
5,eps_0.25,eps,0.25,3,A,0.011081828791967235,78,0.21704153093930187,7,189
5,eps_0.25,eps,0.25,3,C,0.004427988639693784,111,0.11628760156025775,21,186
5,eps_0.25,eps,0.25,4,A,0.016070579022801953,69,0.2528809414322043,5,168
5,eps_0.25,eps,0.25,4,C,0.007359924226182433,97,0.1501568670856522,14,172
5,eps_0.25,eps,0.25,5,A,0.021532647910074407,60,0.28491299754109456,4,161
5,eps_0.25,eps,0.25,5,C,0.006632424283378963,97,0.13979149498643192,16,171
5,eps_0.25,eps,0.25,6,A,0.028828817499843937,53,0.3167734193620139,4,139
5,eps_0.25,eps,0.25,6,C,0.011348897263078809,81,0.1810420754351941,10,152
6,eps_0.5,eps,0.5,1,A,0.009842734280941177,86,0.2289882190766386,5,204
6,eps_0.5,eps,0.5,1,C,0.004853789573707079,109,0.1227453239549268,19,185
6,eps_0.5,eps,0.5,2,A,0.00955789476396527,86,0.22749129837336377,5,207
6,eps_0.5,eps,0.5,2,C,0.0044892998511692145,111,0.1174498843678421,21,186
6,eps_0.5,eps,0.5,3,A,0.007223465834556601,100,0.18473154627587007,7,209
6,eps_0.5,eps,0.5,3,C,0.004399816951118624,112,0.1168467701562963,21,187
6,eps_0.5,eps,0.5,4,A,0.011463059157172587,86,0.2258504636475955,6,182
6,eps_0.5,eps,0.5,4,C,0.007355640085541683,97,0.15050323280435396,14,172
6,eps_0.5,eps,0.5,5,A,0.012542056100949717,81,0.24864311049745183,4,186
6,eps_0.5,eps,0.5,5,C,0.006625240818441618,99,0.141024036911828,16,173
6,eps_0.5,eps,0.5,6,A,0.019471279267797688,69,0.29028738734579107,4,156
6,eps_0.5,eps,0.5,6,C,0.011399600676602718,82,0.18205022743312008,10,152
7,eps_0.6667,eps,0.6666666666666666,1,A,0.008427501436328233,99,0.2082762950387096,5,210
7,eps_0.6667,eps,0.6666666666666666,1,C,0.004828270552339319,110,0.12284234086587888,19,186
7,eps_0.6667,eps,0.6666666666666666,2,A,0.00801573126313936,100,0.20539046359403687,5,214
7,eps_0.6667,eps,0.6666666666666666,2,C,0.004448707038259209,112,0.11757950652816457,21,187
7,eps_0.6667,eps,0.6666666666666666,3,A,0.00652411145761876,107,0.17124072300746399,8,210
7,eps_0.6667,eps,0.6666666666666666,3,C,0.0043812862630302945,112,0.11696098575391548,21,188
7,eps_0.6667,eps,0.6666666666666666,4,A,0.010596456710516441,92,0.21328727089031105,6,185
7,eps_0.6667,eps,0.6666666666666666,4,C,0.007345449912276434,97,0.15060958303801322,14,172
7,eps_0.6667,eps,0.6666666666666666,5,A,0.010986960715416674,91,0.23000113415132487,5,191
7,eps_0.6667,eps,0.6666666666666666,5,C,0.006565273657065213,100,0.1413602800826724,16,174
7,eps_0.6667,eps,0.6666666666666666,6,A,0.0177237083980566,75,0.2757104437094205,4,160
7,eps_0.6667,eps,0.6666666666666666,6,C,0.011355339364693203,82,0.18242913266826472,10,153
8,eps_0.75,eps,0.75,1,A,0.008015598147587273,102,0.20005223586863685,5,211
8,eps_0.75,eps,0.75,1,C,0.004819433465227154,110,0.12286073852198277,19,186
8,eps_0.75,eps,0.75,2,A,0.007582206951629478,104,0.19663855484670756,5,215
8,eps_0.75,eps,0.75,2,C,0.004434573720436474,112,0.11759778364591535,21,187
8,eps_0.75,eps,0.75,3,A,0.006293145040313718,108,0.16616581439489597,8,211
8,eps_0.75,eps,0.75,3,C,0.0043749856164146395,113,0.11698813791371672,21,188
8,eps_0.75,eps,0.75,4,A,0.010298935763691773,93,0.20828889886855373,6,185
8,eps_0.75,eps,0.75,4,C,0.007341649794951413,97,0.15064344365697172,14,172
8,eps_0.75,eps,0.75,5,A,0.010505282391460476,94,0.22237302500531092,5,193
8,eps_0.75,eps,0.75,5,C,0.006543058482206213,100,0.1414509720026269,16,175
8,eps_0.75,eps,0.75,6,A,0.01716590238936651,77,0.26941634833421346,4,162
8,eps_0.75,eps,0.75,6,C,0.011337905774129128,83,0.18256077012942576,10,153
9,eps_1,eps,1,1,A,0.00718181017105537,107,0.18192056693831174,6,211
9,eps_1,eps,1,1,C,0.004802091821884449,110,0.12286579658333893,19,187
9,eps_1,eps,1,2,A,0.006720619539471088,109,0.17747571585040292,6,216
9,eps_1,eps,1,2,C,0.004407024378557749,112,0.11758056529666112,21,188
9,eps_1,eps,1,3,A,0.0058241717072377314,111,0.15526953061476564,9,210
9,eps_1,eps,1,3,C,0.0043623707234437745,113,0.1170196119529124,21,189
9,eps_1,eps,1,4,A,0.009661079101441898,95,0.19698059780491298,7,185
9,eps_1,eps,1,4,C,0.007333762887703433,97,0.15070361044291744,14,173
9,eps_1,eps,1,5,A,0.009506316550823905,98,0.20495076222346792,5,195
9,eps_1,eps,1,5,C,0.006497533158807588,101,0.14156863442640336,16,176
9,eps_1,eps,1,6,A,0.01593637385799204,80,0.2540820462944327,4,164
9,eps_1,eps,1,6,C,0.011300352016548373,83,0.18281050964282333,10,154
10,sar_0.2,sar,0.2,1,A,0.01037935495026861,83,0.22246369901504928,7,198
10,sar_0.2,sar,0.2,1,C,0.004699408541039899,111,0.12153923397625126,20,188
10,sar_0.2,sar,0.2,2,A,0.010010634430525155,83,0.21922460422174553,7,201
10,sar_0.2,sar,0.2,2,C,0.004375741624635619,113,0.11677024668358638,22,188
10,sar_0.2,sar,0.2,3,A,0.007925950142691257,94,0.1900535779508808,9,202
10,sar_0.2,sar,0.2,3,C,0.004504658126617894,112,0.11864016374927429,21,188
10,sar_0.2,sar,0.2,4,A,0.010702913821394803,87,0.2156402062188912,8,184
10,sar_0.2,sar,0.2,4,C,0.006569277687231558,102,0.14374457567784696,16,178
10,sar_0.2,sar,0.2,5,A,0.011394432797260282,84,0.2268433710514917,7,186
10,sar_0.2,sar,0.2,5,C,0.0061232264789117235,103,0.13737307913069477,17,178
10,sar_0.2,sar,0.2,6,A,0.014912270910988071,77,0.25137028559450436,6,169
10,sar_0.2,sar,0.2,6,C,0.008729882978046883,93,0.16359348624759926,14,165
