GEOID,REGION6,peak_prevalence_A,peak_prevalence_C,final_attack_rate_A,final_attack_rate_C,time_to_peak_A,time_to_peak_C,peak_prevalence_ratio,attack_rate_ratio,time_to_peak_diff
01029,2,0.09309133144453748,0.06410089960997666,0.7272157457402006,0.5683050848212944,43,54,1.452262480104862,1.2796220994026057,-11
01031,2,0.08937457484465296,0.06160893979392096,0.7215102381186282,0.5633649043438047,45,56,1.4506754237876314,1.2807156295243982,-11
01033,2,0.08224347446871395,0.0540238796098701,0.710325128805337,0.5376824549594109,46,60,1.5223540971627696,1.3210866790491773,-14
01035,2,0.07906604637239519,0.04561894091049642,0.7009525491735734,0.4928508986267203,46,63,1.7331846113552136,1.4222405825508435,-17
01037,2,0.08150254939959713,0.0515020280981718,0.7070016186684013,0.5236634042156043,46,60,1.5825114545827035,1.3501069828001813,-14
01039,2,0.08785389018210854,0.05898260611357053,0.7181744238860343,0.5517576519790691,45,56,1.4894881045599544,1.301612077893354,-11
01041,2,0.08437071640444427,0.05442890706955596,0.711632428947543,0.5332018276081537,45,59,1.5501085902133764,1.3346398907516812,-14
01043,2,0.09109783528865116,0.0643081182100878,0.7240430078060418,0.5738091099262617,44,54,1.4165837506089696,1.2618186000899954,-10
01045,2,0.08325234229557867,0.05444555411875859,0.7111144186864732,0.5369589625157527,46,59,1.5290934887720249,1.3243366222155408,-13
01047,2,0.08579518824650287,0.05460697134370479,0.7184862911314377,0.5356434882036334,45,59,1.571139840488398,1.3413516769166691,-14
01049,2,0.09582763993136308,0.0687525735334567,0.7326923977723725,0.5880031505399762,43,52,1.393804406241331,1.2460688299025693,-9
01051,2,0.08605468390406852,0.06017436470160463,0.7165746943209942,0.5632417543408651,46,57,1.430088781673066,1.272232906737476,-11
01053,2,0.08298218942614394,0.05261469491981541,0.7103036889939307,0.5269117302351753,46,60,1.5771675489634307,1.3480506282843665,-14
01055,2,0.08535271798238428,0.05712209441479591,0.7160467147932443,0.5486574025662468,45,58,1.4942154845126967,1.305088952493968,-13
01057,2,0.08356749072998623,0.05567561310229422,0.7124708238827326,0.5438973332471118,46,59,1.5009711806216763,1.3099362330556454,-13
01059,2,0.0920460200247519,0.06483480648939716,0.7275218082205143,0.5763309708165286,44,54,1.4197006979546514,1.2623333554151757,-10
01061,2,0.08621819627695787,0.05815149445451486,0.7159696743049386,0.5510793178844454,45,57,1.4826479884260984,1.2992134726694073,-12
01063,2,0.07735073830876084,0.04234846078195391,0.7017851892985685,0.4815408142145112,46,66,1.826530100043744,1.4573742631625517,-20
01065,2,0.08400198464349048,0.05165753667739133,0.7115831651145347,0.5197392878138252,45,60,1.6261322170295274,1.3691155966054842,-15
01067,2,0.08686278912040316,0.05761290233288704,0.7162562664016796,0.5459672533055477,45,57,1.5076968110113673,1.3119033459701483,-12
01069,2,0.08573745402353107,0.05746908811912878,0.7169299021372738,0.5499444908302811,45,58,1.4918881929325944,1.3036404838875388,-13
01071,2,0.08388116271519433,0.05548062169537696,0.7131874787806143,0.5424385604604811,46,59,1.5119001941930998,1.3147801995772255,-13
01073,2,0.08422378114468221,0.05573829662419972,0.7159418884040717,0.5449752396199842,45,59,1.5110576792925359,1.3137145256421263,-14
01075,2,0.07658007787399539,0.04876221538075225,0.697740577989625,0.5170777241586056,48,63,1.570479874140903,1.3493920650420512,-15
01077,2,0.07971405393297919,0.05139402452200629,0.7049895883547649,0.5271134716404682,47,61,1.5510373953852672,1.3374531790293949,-14
01079,2,0.0814218051768626,0.05300198052412831,0.7071940566934499,0.5319627085974504,46,60,1.5362030696154196,1.3294053234633811,-14
01081,2,0.08485387349658467,0.05707262300668682,0.7161431649906662,0.5503361935676532,45,58,1.486770171517137,1.3012830581760206,-13
01083,2,0.08939785251308796,0.06332425162536708,0.7220644871722647,0.5730505813191725,45,55,1.4117474777589958,1.2600362179374454,-10
01085,2,0.08836720142933438,0.05685458206993856,0.7185625651078423,0.5387529594719782,44,57,1.5542670126504698,1.3337514949562266,-13
01087,2,0.07908261384554549,0.04745775150824107,0.7019273264612537,0.5044547997633745,46,62,1.6663792811973561,1.3914573253946796,-16
01089,2,0.08197258353447646,0.05379886151484608,0.710552180133861,0.537587621387795,46,60,1.5236862124276682,1.321742078620698,-14
01091,2,0.0800847157000574,0.04661524781437978,0.7031112906860718,0.4968647554778506,46,62,1.7179939924153536,1.4150959248656456,-16
01093,2,0.08875807397866772,0.05988513775972404,0.7206898983003073,0.5556668996949207,44,56,1.4821385956360325,1.2969818765450842,-12
01095,2,0.09088645832495328,0.06460808479838748,0.7246687567271629,0.5766487302931146,44,55,1.4067350643277645,1.2566901107348467,-11
01097,2,0.08842850403551833,0.06023177045800617,0.7225163756338363,0.5603295988981618,45,56,1.4681372199937412,1.289448883397558,-11
01099,2,0.08375165423484457,0.05094017736872226,0.7084278951406041,0.5133539169501857,45,59,1.6441178370585898,1.3799990060450786,-14
01101,2,0.08940689562461204,0.0605321139788561,0.7252179163574901,0.5610571384099319,44,56,1.4770159135007563,1.2925919067936633,-12
01103,2,0.09036446897083586,0.06237264627559326,0.7240975008239655,0.5662819571848092,44,55,1.4487836313944555,1.2786872186846885,-11
01105,2,0.0821676542581525,0.05101943909282569,0.7085750473028991,0.5194649091739412,46,60,1.6105166132590205,1.364047955481118,-14
01107,2,0.08301500670378192,0.05342229950660671,0.7095903809512473,0.5307011490196913,46,59,1.5539392252015565,1.3370809207065018,-13
01109,2,0.07812249216864854,0.04781060656046972,0.7031728008140617,0.5109643117026035,47,63,1.633999185302974,1.3761681289853553,-16
01111,2,0.0882142229620567,0.06072564798523518,0.7200501932078294,0.561442760130531,45,56,1.4526682857876638,1.2824997387808927,-11
01113,2,0.08448207026267664,0.05594977409837909,0.7149973551876585,0.544318185765293,45,59,1.5099626696280826,1.313565068898803,-14
01115,2,0.08964483758399872,0.06404416198319246,0.7227801072154562,0.5765211097166983,45,55,1.3997347269142941,1.253692354076383,-10
01117,2,0.08448685759913273,0.05836333394220271,0.7138280390080616,0.5566444794204628,46,58,1.4476016343206195,1.2823769306959565,-12
01119,2,0.07833797742165875,0.04840267131836341,0.701443594154066,0.5120311647459723,47,63,1.6184639253978164,1.3699236344374945,-16
01121,2,0.0842966328442298,0.0565477066797525,0.7132315379430052,0.5468027114583064,46,58,1.4907170917050308,1.304367229710398,-12
01123,2,0.07813443949504291,0.04880787684925353,0.7018743313556791,0.5155056731197396,47,63,1.6008571677142704,1.3615259112631541,-16
01125,2,0.08717935006322623,0.05975019142864759,0.7199958284119764,0.5599728834073697,45,57,1.4590639457169599,1.2857690965871162,-12
01127,2,0.08442496012196118,0.0567151230927008,0.7141957802118097,0.5480688896738719,46,58,1.4885793333106003,1.3031131554224717,-12
01129,2,0.08738401889876195,0.0602860654576297,0.7156273537532309,0.5580321977999763,45,56,1.4494895003585406,1.2824122991013214,-11
01131,2,0.09156563852750284,0.06112550447480531,0.7224008328881383,0.5538029907152306,44,55,1.4979939930842507,1.3044364963706052,-11
01133,2,0.0839398789930773,0.0564835161209107,0.7111952474059632,0.5457756620897226,46,58,1.4860951434643779,1.3030908059968538,-12
