scenario,REGION6,peak_prevalence_A,peak_prevalence_C,final_attack_rate_A,final_attack_rate_C,time_to_peak_A,time_to_peak_C,attack_rate_diff,attack_rate_ratio,peak_prevalence_ratio,time_to_peak_diff,equalize_symp,case_rate_A,case_rate_C,case_rate_diff,case_rate_ratio,epidemic_scen,scenario_8
"Null
(all equal)",3,0.008301174998106627,0.008301174998001475,0.22893530525315295,0.22893530525505953,114,114,-1.9065860001887813e-12,0.999999999991672,1.0000000000126672,0,FALSE,0.11793529746117185,0.11446765262752974,0.0034676448336421056,1.0302936659750122,"Null
(all equal)","Obesity
disparity only"
"Null
(all equal)",4,0.014337826064948688,0.014337826064997356,0.29872778797911254,0.29872778797876837,98,98,3.4416913763379853e-13,1.0000000000011522,0.9999999999966056,0,FALSE,0.15388867390408456,0.14936389398938416,0.004524779914700405,1.0302936659847794,"Null
(all equal)","Obesity
disparity only"
"Null
(all equal)",5,0.011989190559092892,0.011989190559006798,0.2740903443331446,0.27409034433405693,103,103,-9.123257704857224e-13,0.9999999999966714,1.000000000007181,0,FALSE,0.14119677283685034,0.13704517216702844,0.004151600669821898,1.0302936659801631,"Null
(all equal)","Obesity
disparity only"
"Null
(all equal)",6,0.021380760189428916,0.021380760189674712,0.3585154967203216,0.3585154967197813,85,85,5.403455460850637e-13,1.0000000000015072,0.9999999999885039,0,FALSE,0.18468812271395435,0.1792577483598906,0.005430374354063738,1.0302936659851452,"Null
(all equal)","Obesity
disparity only"
"Vaccination
disparity only",1,0.011010905979607218,0.009330005998058003,0.28124296375084645,0.2426541325380176,107,111,0.038588831212828856,1.1590281229056876,1.1801606539051621,-4,FALSE,0.14488142207747506,0.12132706626900877,0.023554355808466293,1.1941393337265827,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",2,0.009976582770678482,0.008417576078669924,0.2681842606181095,0.2304085645714745,110,114,0.03777569604663503,1.1639509196061881,1.1852085062776052,-4,FALSE,0.1381542725156656,0.11520428228573722,0.02294999022992837,1.1992112599860334,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",3,0.00995087170996921,0.008396737910068825,0.267583354224124,0.22991124726672,110,114,0.037672106957404,1.1638549979840724,1.185087806305919,-4,FALSE,0.13784471748987942,0.11495562363335997,0.022889093856519452,1.1991124325463367,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",4,0.01669800848188172,0.014408912566151082,0.34042439208368114,0.2991872955185261,94,98,0.04123709656515506,1.1378303730901622,1.1588666670868766,-4,FALSE,0.1753685474550658,0.149593647759263,0.025774899695802794,1.172299426358542,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",5,0.014162436746225601,0.012136403116023436,0.3153939807275962,0.2751873958638489,99,103,0.04020658486374734,1.1461062006038965,1.1669385575638334,-4,FALSE,0.16247421031649675,0.1375936979319244,0.02488051238457234,1.1808259590267147,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",6,0.024569740182226168,0.021558764127215597,0.40172744580949293,0.359321997351322,82,85,0.04240544845817096,1.1180151751653258,1.1396636670471079,-3,FALSE,0.20694862143464368,0.17966099867566096,0.02728762275898272,1.1518839534463716,"Vaccination
disparity only","Vaccination
+ Obesity"
