shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
11/22/2025,11/16/2025,11/22/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1001304,,
11/22/2025,11/16/2025,11/22/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2345,,
11/22/2025,11/16/2025,11/22/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",273940,,
11/22/2025,11/16/2025,11/22/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",2140084,,
11/22/2025,11/16/2025,11/22/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1028719,,
11/22/2025,11/16/2025,11/22/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",895,,
11/22/2025,11/16/2025,11/22/2025,Colombia,Fruits,Lemons,Colombia,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",52360,,
11/22/2025,11/16/2025,11/22/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH LAREDO TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",36050,,
11/22/2025,11/16/2025,11/22/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2724,,
11/15/2025,11/09/2025,11/15/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",692301,,
11/15/2025,11/09/2025,11/15/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",834640,,
11/15/2025,11/09/2025,11/15/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",1994498,,
11/15/2025,11/09/2025,11/15/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",323079,,
11/15/2025,11/09/2025,11/15/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",800426,,
11/15/2025,11/09/2025,11/15/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",54490,,
11/15/2025,11/09/2025,11/15/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",8243,,
11/15/2025,11/09/2025,11/15/2025,Colombia,Fruits,Lemons,Colombia,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2556,,
11/08/2025,11/02/2025,11/08/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",797348,,
11/08/2025,11/02/2025,11/08/2025,Italy,Fruits,Lemons,Italy,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",66,,
11/08/2025,11/02/2025,11/08/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH BROOKLYN NEW YORK,Boat,2025,N/A,I (import),"Washington, District Of Columbia",5676,,
11/08/2025,11/02/2025,11/08/2025,Turkey,Fruits,Lemons,Turkey,No,N/A,N/A,N/A,IMPORTS THROUGH NEWARK-ELIZABETH NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",407,,
11/08/2025,11/02/2025,11/08/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",417226,,
11/08/2025,11/02/2025,11/08/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",2407748,,
11/08/2025,11/02/2025,11/08/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",115581,,
11/08/2025,11/02/2025,11/08/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",429708,,
11/08/2025,11/02/2025,11/08/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",2987424,,
11/08/2025,11/02/2025,11/08/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",745962,,
11/01/2025,10/26/2025,11/01/2025,Italy,Fruits,Lemons,Italy,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",24,,
11/01/2025,10/26/2025,11/01/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",789384,,
11/01/2025,10/26/2025,11/01/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",583088,,
11/01/2025,10/26/2025,11/01/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",3411435,,
11/01/2025,10/26/2025,11/01/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",2362896,,
11/01/2025,10/26/2025,11/01/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",323770,,
11/01/2025,10/26/2025,11/01/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH BROOKLYN NEW YORK,Boat,2025,N/A,I (import),"Washington, District Of Columbia",6747,,
11/01/2025,10/26/2025,11/01/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",965747,,
11/01/2025,10/26/2025,11/01/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",784122,,
11/01/2025,10/26/2025,11/01/2025,Guatemala,Fruits,Lemons,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",174,,
11/01/2025,10/26/2025,11/01/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",165,,
11/01/2025,10/26/2025,11/01/2025,Spain,Fruits,Lemons,Spain,No,N/A,N/A,N/A,IMPORTS THROUGH NEWARK-ELIZABETH NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",59,,
11/01/2025,10/26/2025,11/01/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",272448,,
11/01/2025,10/26/2025,11/01/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH HOUSTON TEXAS,Boat,2025,N/A,I (import),"Washington, District Of Columbia",53856,,
10/25/2025,10/19/2025,10/25/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",3714617,,
10/25/2025,10/19/2025,10/25/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",808691,,
10/25/2025,10/19/2025,10/25/2025,Guatemala,Fruits,Lemons,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2025,N/A,I (import),"Washington, District Of Columbia",5,,
10/25/2025,10/19/2025,10/25/2025,Italy,Fruits,Lemons,Italy,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2025,N/A,I (import),"Washington, District Of Columbia",11,,
10/25/2025,10/19/2025,10/25/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",653876,,
10/25/2025,10/19/2025,10/25/2025,Argentina,Fruits,Lemons,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",2,,
10/25/2025,10/19/2025,10/25/2025,Guatemala,Fruits,Lemons,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",1505,,
10/25/2025,10/19/2025,10/25/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH BROOKLYN NEW YORK,Boat,2025,N/A,I (import),"Washington, District Of Columbia",4607,,
10/25/2025,10/19/2025,10/25/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",787297,,
10/25/2025,10/19/2025,10/25/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",541564,,
10/25/2025,10/19/2025,10/25/2025,Argentina,Fruits,Lemons,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",492195,,
10/25/2025,10/19/2025,10/25/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",163469,,
10/25/2025,10/19/2025,10/25/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",2889328,,
10/25/2025,10/19/2025,10/25/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",2484,,
10/18/2025,10/12/2025,10/18/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",363261,,
10/18/2025,10/12/2025,10/18/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",106198,,
10/18/2025,10/12/2025,10/18/2025,Argentina,Fruits,Lemons,Argentina,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",977108,,
10/18/2025,10/12/2025,10/18/2025,Argentina,Fruits,Lemons,Argentina,Yes,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",12474,,
10/18/2025,10/12/2025,10/18/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",707896,,
10/18/2025,10/12/2025,10/18/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",271814,,
10/18/2025,10/12/2025,10/18/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",3491533,,
10/18/2025,10/12/2025,10/18/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",655563,,
10/18/2025,10/12/2025,10/18/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",432115,,
10/18/2025,10/12/2025,10/18/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",3441569,,
10/18/2025,10/12/2025,10/18/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",1168,,
10/18/2025,10/12/2025,10/18/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH BROOKLYN NEW YORK,Boat,2025,N/A,I (import),"Washington, District Of Columbia",506,,
10/11/2025,10/05/2025,10/11/2025,Chile,Fruits,Lemons,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH HOUSTON TEXAS,Boat,2025,N/A,I (import),"Washington, District Of Columbia",191536,,
