shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/20/2025,12/14/2025,12/20/2025,Appalachia,Fruits,Apples,Appalachia,No,cartons tray pack,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",1316800,32920,
12/20/2025,12/14/2025,12/20/2025,Appalachia,Fruits,Apples,Appalachia,No,cartons 12 3-lb film bags,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",1274364,35399,
12/20/2025,12/14/2025,12/20/2025,New England,Fruits,Apples,New England,No,cartons tray pack,N/A,N/A,NEW ENGLAND,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",299360,7484,
12/20/2025,12/14/2025,12/20/2025,Oregon,Fruits,Apples,Oregon,No,cartons tray pack,N/A,N/A,OREGON,Truck,2025,N/A,D (domestic),"Yakima, Washington",339160,8479,
12/20/2025,12/14/2025,12/20/2025,New Zealand,Fruits,Apples,New Zealand,No,N/A,N/A,N/A,IMPORTS THROUGH SEATTLE-TACOMA WASHINGTON,Boat,2025,N/A,I (import),"Washington, District Of Columbia",37433,,
12/20/2025,12/14/2025,12/20/2025,Canada,Fruits,Apples,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH LAKE CHAMPLAIN NEW YORK,Truck,2025,N/A,I (import),"Washington, District Of Columbia",29990,,
12/20/2025,12/14/2025,12/20/2025,Canada,Fruits,Apples,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH PORT HURON MICHIGAN,Truck,2025,N/A,I (import),"Washington, District Of Columbia",10193,,
12/20/2025,12/14/2025,12/20/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,Exp (export),"Yakima, Washington",40592440,1014811,
12/20/2025,12/14/2025,12/20/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2024,N/A,Exp (export),"Yakima, Washington",446920,11173,
12/20/2025,12/14/2025,12/20/2025,Idaho,Fruits,Apples,Idaho,No,cartons tray pack,N/A,N/A,IDAHO,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",144040,3601,
12/20/2025,12/14/2025,12/20/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2024,N/A,D (domestic),"Yakima, Washington",554720,13868,
12/20/2025,12/14/2025,12/20/2025,Appalachia,Fruits,Apples,Appalachia,No,bushel cartons loose,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",130560,3264,
12/20/2025,12/14/2025,12/20/2025,China,Fruits,Apples,China,No,N/A,N/A,N/A,IMPORTS THROUGH NEWARK-ELIZABETH NEW JERSEY,Boat,2025,N/A,I (import),"Washington, District Of Columbia",93784,,
12/20/2025,12/14/2025,12/20/2025,Washington,Fruits,Apples,Washington,Yes,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,D (domestic),"Yakima, Washington",14283800,357095,
12/20/2025,12/14/2025,12/20/2025,Idaho,Fruits,Apples,Idaho,No,cartons tray pack,N/A,N/A,IDAHO,Truck,2025,N/A,Exp (export),"Idaho Falls, Idaho",194040,4851,
12/13/2025,12/07/2025,12/13/2025,Oregon,Fruits,Apples,Oregon,No,cartons tray pack,N/A,N/A,OREGON,Truck,2025,N/A,D (domestic),"Yakima, Washington",450760,11269,
12/13/2025,12/07/2025,12/13/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,D (domestic),"Yakima, Washington",71113720,1777843,
12/13/2025,12/07/2025,12/13/2025,Washington,Fruits,Apples,Washington,Yes,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2024,N/A,D (domestic),"Yakima, Washington",88200,2205,
12/13/2025,12/07/2025,12/13/2025,New York,Fruits,Apples,New York,No,cartons tray pack,N/A,N/A,NEW YORK,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",9228440,230711,
12/13/2025,12/07/2025,12/13/2025,Michigan,Fruits,Apples,Michigan,No,cartons tray pack,N/A,N/A,MICHIGAN,Truck,2025,N/A,D (domestic),"Benton Harbor (St. Joseph), Michigan",9092840,227321,
12/13/2025,12/07/2025,12/13/2025,Canada,Fruits,Apples,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH LAKE CHAMPLAIN NEW YORK,Truck,2025,N/A,I (import),"Washington, District Of Columbia",25810,,
12/13/2025,12/07/2025,12/13/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,Exp (export),"Yakima, Washington",36754120,918853,
12/13/2025,12/07/2025,12/13/2025,Idaho,Fruits,Apples,Idaho,No,cartons tray pack,N/A,N/A,IDAHO,Truck,2025,N/A,Exp (export),"Idaho Falls, Idaho",82320,2058,
12/13/2025,12/07/2025,12/13/2025,Appalachia,Fruits,Apples,Appalachia,No,31 lb reusable plastic containers (RPC),N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",261547,8437,
12/13/2025,12/07/2025,12/13/2025,Appalachia,Fruits,Apples,Appalachia,No,cartons 12 3-lb film bags,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",1519344,42204,
12/13/2025,12/07/2025,12/13/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2024,N/A,D (domestic),"Yakima, Washington",1019240,25481,
12/13/2025,12/07/2025,12/13/2025,California-Central,Fruits,Apples,California-Central,No,cartons tray pack,N/A,N/A,SAN JOAQUIN VALLEY CALIFORNIA,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",600000,15000,
