"ZIP3","POP3","WEIGHTED_LAT","WEIGHTED_LONG","state"
"482",887804,42.3926305480241,-83.110544934677,"MI"
"483",1000242,42.6204979766926,-83.2912859406014,"MI"
"484",450187,43.054746530022,-83.5122939230675,"MI"
"485",182724,43.0218866693702,-83.6969770574582,"MI"
"486",396788,43.7030657832495,-84.2336501715777,"MI"
"487",204999,43.7270493818555,-83.662213638847,"MI"
"488",632918,42.9302045300292,-84.5786847752205,"MI"
"489",163030,42.7192621580936,-84.5711328985954,"MI"
"490",748252,42.2289406317417,-85.6046055496638,"MI"
"491",108255,41.8763826961711,-86.3402344175235,"MI"
"492",347798,42.1049975209231,-84.3258986082036,"MI"
"493",340783,43.1288388635818,-85.5579248063548,"MI"
"494",577756,43.0895663248655,-86.0972807106685,"MI"
"495",420852,42.9381653953242,-85.649172192077,"MI"
"496",271228,44.5367494042577,-85.5918725406374,"MI"
"497",223949,45.4272132329995,-84.4734932681235,"MI"
"498",178840,46.1006399373351,-87.3229180188772,"MI"
"499",79546,46.7959073180801,-88.8602850314786,"MI"
"500",246153,41.7774626351497,-93.7113665230812,"IA"
"501",181542,41.6924639507056,-93.3918928308601,"IA"
"502",228557,41.6103192620178,-93.6192981713096,"IA"
"503",300301,41.5994359484917,-93.6458052302157,"IA"
"504",102471,43.157183302915,-93.3090932802256,"IA"
"505",122003,42.6734505393064,-94.3962766601641,"IA"
"506",172181,42.6287371117429,-92.4306574341304,"IA"
"507",78204,42.4725890649455,-92.319081788796,"IA"
"508",32808,40.9994217968788,-94.5051071193307,"IA"
"510",86966,42.6531704445645,-95.9817087572845,"IA"
"511",86383,42.509696822766,-96.3789803007536,"IA"
"512",44380,43.2337593094412,-96.081819883754,"IA"
"513",46620,43.2904372847705,-95.1050891874946,"IA"
"514",47383,42.0939882397484,-95.0878916318511,"IA"
"515",146762,41.3017244505322,-95.6934974652158,"IA"
"516",23143,40.7449890311109,-95.3128360821847,"IA"
"520",143261,42.4769658778802,-90.8453526409281,"IA"
"521",58083,43.2122206118658,-91.7279504979942,"IA"
"522",177596,41.7806877363454,-91.6027799366033,"IA"
"523",162581,41.8987465426095,-91.6870083425923,"IA"
"524",138268,41.9794934307143,-91.6749517157983,"IA"
"525",112172,41.0090323004582,-92.4405209473755,"IA"
"526",103988,40.8071816484594,-91.3453846352945,"IA"
"527",172241,41.6294300159718,-90.687190454015,"IA"
"528",104708,41.5563208206823,-90.6102803888719,"IA"
"530",642874,43.3705989645203,-88.1674021864954,"WI"
"531",690683,42.7897404202956,-88.1542571894762,"WI"
"532",823419,43.0527433431194,-87.9644793743028,"WI"
"534",125869,42.7409303298588,-87.8285672652202,"WI"
"535",559377,42.9292277901469,-89.3594946823716,"WI"
"537",291412,43.0691294353253,-89.3976393994825,"WI"
"538",59921,42.8393411423875,-90.67756191649,"WI"
"539",199739,43.5935205314535,-89.4533841618512,"WI"
"540",148744,45.0304493932932,-92.5576400954459,"WI"
"541",257075,44.6652882936925,-88.1966924299017,"WI"
"542",126521,44.3968389830542,-87.6252218833079,"WI"
"543",182776,44.5170833933996,-88.018731188017,"WI"
"544",387504,44.798609571576,-89.7874505911887,"WI"
"545",87731,45.8339992678415,-89.6754537687249,"WI"
"546",249842,43.9022736252592,-90.9989797798889,"WI"
"547",266469,44.8459808435465,-91.5329601330286,"WI"
"548",177331,46.0275561463365,-91.7687967034585,"WI"
"549",485959,44.1411023682903,-88.6107582557376,"WI"
"550",684097,44.9187134642339,-93.0471949366859,"MN"
"551",793815,44.9525779452706,-93.0925341068334,"MN"
"553",1004765,45.023525919821,-93.6137267935428,"MN"
"554",1080992,44.9966700210575,-93.3060461380417,"MN"
"557",168555,47.1876414009314,-92.781695839014,"MN"
"558",117067,46.847171086899,-92.1264371297206,"MN"
"559",334763,43.9577319454629,-92.3501334330287,"MN"
"560",262062,44.1049130540139,-93.9530249637032,"MN"
"561",89990,43.8590052694633,-95.6360678530837,"MN"
"562",142631,44.9871285634469,-95.5005952847418,"MN"
"563",314357,45.6973322236565,-94.4759577902512,"MN"
"564",146019,46.5382249693122,-94.4478750310165,"MN"
"565",174564,46.7576525806237,-96.179942089165,"MN"
"566",91908,47.7141194811007,-94.5902725778278,"MN"
"567",69606,48.2352657460707,-96.3220957667299,"MN"
"570",182295,43.4939075578486,-96.9467040534134,"SD"
"571",177850,43.5360451029969,-96.7421696856058,"SD"
"572",72022,45.0144252605176,-97.085411796104,"SD"
"573",83269,43.8356344267615,-98.3275140489137,"SD"
"574",61910,45.4152362242287,-98.6493945829268,"SD"
"575",53809,43.894686132803,-100.488388778903,"SD"
"576",21681,45.4081157936903,-101.160781440017,"SD"
"577",202228,44.1011971534703,-103.295997469154,"SD"
"580",88753,46.724596752752,-97.1348450003042,"ND"
"581",120065,46.8543694989048,-96.8305740928997,"ND"
"582",99185,48.021952429692,-97.3220689741897,"ND"
"583",51068,48.3828529412744,-99.4591895983786,"ND"
"584",46222,46.8301642923283,-98.8536368726797,"ND"
"585",149691,46.8316296025012,-100.844098078121,"ND"
"586",48479,46.834295121269,-102.850677680295,"ND"
"587",98371,48.2587170552195,-101.489176759685,"ND"
"588",42765,48.1512436139366,-103.586112673752,"ND"
"590",85991,45.6917583183938,-108.902938416439,"MT"
"591",136413,45.7573258687662,-108.519035660018,"MT"
"592",38734,48.0879441701864,-105.179721814917,"MT"
"593",35317,46.4869497046748,-105.436384553501,"MT"
"594",130169,47.6606312056865,-111.383814692331,"MT"
"595",31199,48.4840048307318,-109.496305308119,"MT"
"596",80534,46.5977092261405,-111.985646316475,"MT"
"597",172578,45.7939895195332,-111.689574769577,"MT"
"598",199595,46.8947402196247,-114.137216952704,"MT"
"599",119915,48.2912209803778,-114.499067983613,"MT"
"600",1649237,42.2071766379599,-87.9919131190363,"IL"
"601",1443048,41.9705805489713,-88.1746274939746,"IL"
"602",79756,42.0452419254727,-87.690913235092,"IL"
"603",63444,41.8882549620137,-87.7952077184131,"IL"
"604",1456317,41.5849754124576,-87.8634807555958,"IL"
"605",1040963,41.742297090546,-88.179250965238,"IL"
"606",2706243,41.8668213536201,-87.6827453376759,"IL"
"607",109339,41.9696969337748,-87.8016618453891,"IL"
"608",154749,41.7640812690098,-87.725545848419,"IL"
"609",164671,40.9884250812104,-87.883327134462,"IL"
"610",304409,42.1775005259273,-89.3883102719236,"IL"
