r0,sar_crowded,fold_diff,gamma,beta,target_final_size,simulated_final_size,iterations
2,0.5,1,0.2,0.3073583984375,0.7968121299824948,0.7971351943284359,11
3,0.5,1,0.2,0.5054023437499999,0.9404797906997701,0.9405485159243653,9
1.2,0.5,2,0.2,0.15345971679687498,0.31369833146170056,0.3141284541282044,13
1.5,0.5,2,0.2,0.20955590820312497,0.5828116437565659,0.5828772245450832,13
2,0.5,2,0.2,0.3063828125,0.7968121299824948,0.7965493170748049,8
3,0.5,2,0.2,0.5054023437499999,0.9404797906997701,0.940702169100959,9
1.2,0.5,3,0.2,0.15284997558593752,0.31369833146170056,0.3135699633424563,14
1.5,0.5,3,0.2,0.20906811523437496,0.5828116437565659,0.5828166884333245,13
2,0.5,3,0.2,0.3063828125,0.7968121299824948,0.7970871305955994,8
3,0.5,3,0.2,0.5054023437499999,0.9404797906997701,0.9408092317165068,9
1.2,0.6,1,0.2,0.1533377685546875,0.31369833146170056,0.3138137879692113,14
1.5,0.6,1,0.2,0.20931201171874997,0.5828116437565659,0.5828237685725054,12
2,0.6,1,0.2,0.3063828125,0.7968121299824948,0.7970954375133011,8
3,0.6,1,0.2,0.5054023437499999,0.9404797906997701,0.9408778967194015,9
1.2,0.6,2,0.2,0.152484130859375,0.31369833146170056,0.31386682429668955,13
1.5,0.6,2,0.2,0.208580322265625,0.5828116437565659,0.5828706569797683,13
2,0.6,2,0.2,0.30540722656249997,0.7968121299824948,0.7965518878005307,11
3,0.6,2,0.2,0.5034511718749999,0.9404797906997701,0.9403670435770619,10
1.2,0.6,3,0.2,0.1518743896484375,0.31369833146170056,0.31381698300511124,14
1.5,0.6,3,0.2,0.208092529296875,0.5828116437565659,0.582993293384709,13
2,0.6,3,0.2,0.30540722656249997,0.7968121299824948,0.7971294888342876,11
3,0.6,3,0.2,0.5034511718749999,0.9404797906997701,0.9404759484457953,10
1.2,0.2,1,0.3333333333333333,0.2630830891927083,0.31369833146170056,0.31361592425300183,13
1.5,0.2,1,0.3333333333333333,0.35698323567708334,0.5828116437565659,0.5823268763730691,12
2,0.2,1,0.3333333333333333,0.5187679036458335,0.7968121299824948,0.7964045701689036,11
3,0.2,1,0.3333333333333333,0.8488411458333334,0.9404797906997701,0.9403074031515704,8
1.2,0.2,2,0.3333333333333333,0.2630830891927083,0.31369833146170056,0.31361592435442276,13
1.5,0.2,2,0.3333333333333333,0.35698323567708334,0.5828116437565659,0.5823305638313591,12
2,0.2,2,0.3333333333333333,0.5187679036458335,0.7968121299824948,0.7964043770875876,11
3,0.2,2,0.3333333333333333,0.8488411458333334,0.9404797906997701,0.9403073626810605,8
1.2,0.2,3,0.3333333333333333,0.2630830891927083,0.31369833146170056,0.3136159237373939,13
1.5,0.2,3,0.3333333333333333,0.35698323567708334,0.5828116437565659,0.5823363007589373,12
2,0.2,3,0.3333333333333333,0.5187679036458335,0.7968121299824948,0.7964053878122094,11
3,0.2,3,0.3333333333333333,0.8488411458333334,0.9404797906997701,0.9403071888046397,8
1.2,0.3,1,0.3333333333333333,0.26064412434895834,0.31369833146170056,0.31352664965283766,13
1.5,0.3,1,0.3333333333333333,0.35454427083333334,0.5828116437565659,0.5829328006755556,8
2,0.3,1,0.3333333333333333,0.5163289388020833,0.7968121299824948,0.796866050059715,12
3,0.3,1,0.3333333333333333,0.8488411458333334,0.9404797906997701,0.9409512967364412,8
1.2,0.3,2,0.3333333333333333,0.26023763020833335,0.31369833146170056,0.3141140231718195,10
1.5,0.3,2,0.3333333333333333,0.3537312825520833,0.5828116437565659,0.5823404653429775,12
2,0.3,2,0.3333333333333333,0.5155159505208333,0.7968121299824948,0.7965766045735254,11
3,0.3,2,0.3333333333333333,0.8455891927083333,0.9404797906997701,0.9403702463823292,10
1.2,0.3,3,0.3333333333333333,0.25983113606770836,0.31369833146170056,0.3140422502314116,13
1.5,0.3,3,0.3333333333333333,0.3537312825520833,0.5828116437565659,0.5831005622301958,12
2,0.3,3,0.3333333333333333,0.5155159505208333,0.7968121299824948,0.7968481004061605,11
3,0.3,3,0.3333333333333333,0.8455891927083333,0.9404797906997701,0.9404324758893318,10
1.2,0.4,1,0.3333333333333333,0.25861165364583333,0.31369833146170056,0.3136804714270296,11
1.5,0.4,1,0.3333333333333333,0.35210530598958334,0.5828116437565659,0.5826189714857029,12
2,0.4,1,0.3333333333333333,0.5138899739583334,0.7968121299824948,0.7968569341569494,10
3,0.4,1,0.3333333333333333,0.8423372395833333,0.9404797906997701,0.9401329110089809,9
1.2,0.4,2,0.3333333333333333,0.2575954182942708,0.31369833146170056,0.31349113298039577,14
1.5,0.4,2,0.3333333333333333,0.35129231770833336,0.5828116437565659,0.5827705315093955,10
2,0.4,2,0.3333333333333333,0.5130769856770834,0.7968121299824948,0.7968142956559343,12
3,0.4,2,0.3333333333333333,0.8423372395833333,0.9404797906997701,0.9402689213157168,9
1.2,0.4,3,0.3333333333333333,0.2569856770833333,0.31369833146170056,0.31376345679318934,9
1.5,0.4,3,0.3333333333333333,0.3504793294270834,0.5828116437565659,0.5823827964896447,12
2,0.4,3,0.3333333333333333,0.5122639973958334,0.7968121299824948,0.7965818970108857,11
3,0.4,3,0.3333333333333333,0.8423372395833333,0.9404797906997701,0.9403627770402142,9
1.2,0.5,1,0.3333333333333333,0.2569856770833333,0.31369833146170056,0.3139940619689959,9
1.5,0.5,1,0.3333333333333333,0.3504793294270834,0.5828116437565659,0.5830915498905727,12
2,0.5,1,0.3333333333333333,0.5122639973958334,0.7968121299824948,0.7971350184816479,11
3,0.5,1,0.3333333333333333,0.8423372395833333,0.9404797906997701,0.9405480633217727,9
1.2,0.5,2,0.3333333333333333,0.25576619466145833,0.31369833146170056,0.3141278933180343,13
1.5,0.5,2,0.3333333333333333,0.3492598470052083,0.5828116437565659,0.5828779349543469,13
2,0.5,2,0.3333333333333333,0.5106380208333334,0.7968121299824948,0.796547098794827,8
3,0.5,2,0.3333333333333333,0.8423372395833333,0.9404797906997701,0.9407015696725073,9
1.2,0.5,3,0.3333333333333333,0.25474995930989586,0.31369833146170056,0.31356944442955254,14
1.5,0.5,3,0.3333333333333333,0.3484468587239583,0.5828116437565659,0.582823977569628,13
2,0.5,3,0.3333333333333333,0.5106380208333334,0.7968121299824948,0.797083601559577,8
3,0.5,3,0.3333333333333333,0.8423372395833333,0.9404797906997701,0.9408100987571824,9
1.2,0.6,1,0.3333333333333333,0.25556294759114584,0.31369833146170056,0.3138132058292655,14
1.5,0.6,1,0.3333333333333333,0.3488533528645833,0.5828116437565659,0.582832475483953,12
2,0.6,1,0.3333333333333333,0.5106380208333334,0.7968121299824948,0.7970961041692701,8
3,0.6,1,0.3333333333333333,0.8423372395833333,0.9404797906997701,0.9408775823690703,9
1.2,0.6,2,0.3333333333333333,0.25414021809895837,0.31369833146170056,0.31386627142643314,13
1.5,0.6,2,0.3333333333333333,0.3476338704427083,0.5828116437565659,0.582881442994021,13
2,0.6,2,0.3333333333333333,0.5090120442708335,0.7968121299824948,0.7965507264167945,11
3,0.6,2,0.3333333333333333,0.8390852864583334,0.9404797906997701,0.9403665105379508,10
1.2,0.6,3,0.3333333333333333,0.2531239827473958,0.31369833146170056,0.3138163465843676,14
1.5,0.6,3,0.3333333333333333,0.34682088216145834,0.5828116437565659,0.5829943924569434,13
2,0.6,3,0.3333333333333333,0.5090120442708335,0.7968121299824948,0.7971336889924074,11
3,0.6,3,0.3333333333333333,0.8390852864583334,0.9404797906997701,0.9404762327681283,10
